,title,health,ingredients,weight,price,image,,,,
51,Angelic Lavender Breeze Tea Tin  50G,1. Promotes relaxation 2. Prevents digestive issues 3. Detoxifies the body 4. Good for the nervous system 5. Lowers cholesterol 6. Prevents insomnia 7. Improves memory.,"Lemongrass, Rosemary, French Lavender",50gms = 34 cups,Rs. 650 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/LavenderBrezze_1000x.jpg?v=1597053307,,,,
52,The Jasmine Bouquet Blooming Tea                     10pcs,"The breathtaking fragrances and flavours of Jasmine and Lily are known for their healing and uplifting properties Aids weight loss, Packed with anti-oxidants, Promotes relaxation, Good for heart, Relieves stress.",1 lily + 8 jasmine tied to whole tea leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_05_1000x.jpg?v=1615446125,,,,
53,Loved Forever                2x 25g,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.","(25g Jasmine Argent Tea, 25g Organic Jasmine Black Tea, 1 Spiritual Fantasy CandleÂ , 300ml Mug)",Tea Care Packages,"Rs. 3,300 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/6_fd893d9d-2cc3-47f0-b98f-4646639ee8f0_1000x.jpg?v=1581594562,,,,
54,Darjeeling Oolong Tea                        75G,"Helps Manage Stress,  Loose Weight, Prevent Diabetes, Improve Heart Health, Improve Brain Function, Protect Against Certain Cancers,  Promotes Tooth and Bone Strength, Lower Cholesterol",Whole leaves Oolong Tea,75 gms = 74 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT11_1000x.jpg?v=1617856663,,,,
55,Organic Jasmine White TeaÂ                      75G,"Packed with anti-oxidants, lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,75 gms | 75 cups,"Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09886_1000x.jpg?v=1633932797,,,,
56,Goodnight Kiss Loose Leaf Tea Blend Tin              200G,"Prevents sleep disorders, Good for joints, Eases heart burn, Prevents sleep disorders, Relaxant.","Valerian Root, Star Anise, Licorice Root",200 gms | 100 cups,"Rs. 2,150 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD71_1000x.jpg?v=1581404473,,,,
57,Rosy Duet Tea Blend Pouch               150G,"menopause, Promotes liver health, Carries anti-anxiety, Anti-aging properties, Improves memory, Helps fight cancer.","Bulgarian Red Rose Petals, Rosemary Leaves",150 gms | 102 cups,"Rs.2,000 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD39_1000x.jpg?v=1581149281,,,,
58,Jasmine Tea                  100G,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.",Whole leaves Jasmine Tea,100 gms | 100 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09880_1000x.jpg?v=1633932611,,,,
59,Dooars             200G,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure.",Whole leave green tea,200 gms | 200 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT41_16072c49-df12-4b5f-b524-25c1ae2dbd03_1000x.jpg?v=1612432871,,,,
60,Sri Lankan Orange Pekoe 1 Ceylon Spring Loose Leaf Black Tea Tin   150G,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 99 cups,"Rs. 1,400 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT12_1000x.jpg?v=1581403303,,,,
